TwitterID;URL1;URL2;URL3;;;;
949;mobro.co/pedraum;;;;;;
949;mobro.co/pedraum;;;;;;
2666;bit.ly/1wQIvmP;;;;;;
2666;us.movember.com/team/1855217;;;;;;
2666;mobro.co/bjcook79;;;;;;
2666;mobro.co/digitaloperative;;;;;;
8557;ow.ly/EdYxH;;;;;;
8557;mobro.co/japhygrant;;;;;;
8557;wdc.com/ventito/business/guide/how-movember-is-made;;;;;;
8997;mobro.co/coreypud;;;;;;
8997;mobro.co/coreypud;;;;;;
10723;mobro.co/jefmo;;;;;;
12757;mobro.co/davidmohara;;;;;;
19403;mobro.co/patrickdevlin;;;;;;
20653;fb.me/3E5PSJEEN;;;;;;
20653;fb.me/7eoxw51SC;;;;;;
20653;fb.me/2G2q23AVi';mobro.co/lbcapt;;;;;
20653;mobro.co/lbcapt';fb.me/6RwgseeAd;;;;;
20653;mobro.co/lbcapt';fb.me/1D4FccuHh;;;;;
20653;mobro.co/lbcapt';fb.me/4pnRZwCL4;;;;;
20653;mobro.co/lbcapt';fb.me/1P1KdOF2U;;;;;
20653;fb.me/1l2g3PXzR';mobro.co/lbcapt;;;;;
20653;fb.me/1KfLlaqAc';mobro.co/lbcapt;;;;;
20653;mobro.co/lbcapt;;;;;;
20653;fb.me/432ATyfhx';mobro.co/lbcapt;;;;;
20653;mobro.co/lbcapt';fb.me/2tpq3N2qn;;;;;
20653;mobro.co/lbcapt';fb.me/3jnnWdVre;;;;;
20653;mobro.co/lbcapt;;;;;;
20653;mobro.co/lbcapt;;;;;;
20653;fb.me/6MQyjQYui';mobro.co/lbcapt;;;;;
20653;fb.me/3DH0OzWaf;;;;;;
20653;fb.me/28DoXIkyA;;;;;;
20653;fb.me/76VRzaPls;;;;;;
147563;mobro.co/topherkohan;;;;;;
147563;mobro.co/topherkohan;;;;;;
641483;mobro.co/kevinrailsback;;;;;;
649823;mobro.co/victolbert;;;;;;
671083;movembermattic.wordpress.com;;;;;;
671083;mobro.co/lucasartoni;;;;;;
671083;bit.ly/1wRYh1Y;;;;;;
671083;wp.me/p4kuU4-1tl;;;;;;
671083;mobro.co/lucasartoni;;;;;;
698923;fb.me/1LM053Oof;;;;;;
698923;fb.me/4mslzlPrt';mobro.co/oddworks;;;;;
698923;mobro.co/oddworks;;;;;;
698923;moteam.co/mo-bears;;;;;;
698923;fb.me/1y0EEwIOk;;;;;;
698923;mobro.co/oddworks;;;;;;
756034;mobro.co/devinpike';instagram.com/p/wEnOveCtx_/;;;;;
756034;instagram.com/p/wCcaSfCtxO/;;;;;;
756034;mobro.co/devinpike';instagram.com/p/v_nrgEity7/;;;;;
756034;instagram.com/p/v64_-nit8D/;;;;;;
756034;instagram.com/p/v1X33Git4C/;;;;;;
756034;mobro.co/devinpike;;;;;;
756034;instagram.com/p/vo3TeEit91/;;;;;;
756034;instagram.com/p/vl8O9pCt4q/;;;;;;
756034;instagram.com/p/vjy3q6itzU/;;;;;;
756034;mobro.co/devinpike';instagram.com/p/vgj1jAitwy/;;;;;
756034;instagram.com/p/vbrU9Lit8o/;;;;;;
756034;instagram.com/p/vYxtz4it9G/;;;;;;
756034;instagram.com/p/vWLnfpCt_o/;;;;;;
756034;instagram.com/p/vTiU41Ct-c/;;;;;;
756034;instagram.com/p/vRAzhuCtxn/;;;;;;
756034;mobro.co/devinpike;;;;;;
756034;instagram.com/p/vOyOScCtyP/;;;;;;
756034;instagram.com/p/vMYwOJCt5F/;;;;;;
756034;instagram.com/p/vJjKwwit5S/;;;;;;
756034;mobro.co/devinpike;;;;;;
756034;mobro.co/devinpike';instagram.com/p/vGoSedit2d/;;;;;
756034;instagram.com/p/vEzEODitww/;;;;;;
756034;instagram.com/p/vBxMASit_Y/;;;;;;
756034;mobro.co/devinpike;;;;;;
756713;mobro.co/roblahblah;;;;;;
771460;mobro.co/harmensteele;;;;;;
776321;instagram.com/p/vRnd2MRiuf/;;;;;;
776321;buff.ly/1xSDg40;;;;;;
779609;instagram.com/p/vyrBPqH6Z9/;;;;;;
779609;instagram.com/p/vl9XjUH6SQ/;;;;;;
779609;instagram.com/p/vlVMg5n6ai/;;;;;;
779609;mobro.co/williemorris;;;;;;
779609;instagram.com/p/vjNtavn6T1/;;;;;;
779609;mobro.co/williemorris;;;;;;
779609;instagram.com/p/u3AUYtH6Uc/;;;;;;
